iter	Passed	Remaining
408	4802	6940
409	4814	6928
410	4826	6917
411	4838	6905
412	4850	6894
413	4854	6870
414	4865	6859
415	4877	6847
416	4889	6835
417	4901	6824
418	4913	6813
419	4925	6801
420	4937	6790
421	4948	6778
422	4960	6766
423	4972	6755
424	4984	6743
425	4988	6721
426	5000	6709
427	5011	6698
428	5023	6686
429	5027	6664
430	5039	6653
431	5051	6641
432	5063	6630
433	5075	6618
434	5087	6607
435	5098	6595
436	5110	6584
437	5122	6572
438	5134	6561
439	5146	6549
440	5158	6538
441	5170	6526
442	5181	6515
443	5185	6493
444	5197	6481
445	5209	6470
446	5220	6458
447	5232	6447
448	5244	6436
449	5256	6424
450	5268	6413
451	5280	6401
452	5292	6390
453	5304	6378
454	5316	6367
455	5327	6356
456	5339	6344
457	5351	6333
458	5363	6321
459	5375	6309
460	5386	6298
461	5398	6286
462	5410	6275
463	5422	6264
464	5434	6252
465	5446	6241
466	5458	6229
467	5470	6218
468	5481	6206
469	5485	6185
470	5497	6174
471	5509	6162
472	5521	6151
473	5532	6139
474	5538	6121
475	5550	6109
476	5561	6098
477	5573	6086
478	5585	6075
479	5597	6063
480	5609	6052
481	5621	6041
482	5633	6029
483	5644	6018
484	5656	6006
485	5668	5995
486	5680	5983
487	5684	5963
488	5695	5952
489	5708	5941
490	5720	5929
491	5731	5918
492	5743	5906
493	5755	5895
494	5767	5883
495	5779	5872
496	5791	5861
497	5803	5849
498	5814	5838
499	5826	5826
500	5838	5815
501	5850	5803
502	5862	5792
503	5873	5780
504	5885	5769
505	5897	5757
506	5909	5746
507	5921	5735
508	5933	5723
509	5945	5712
510	5957	5700
511	5968	5689
512	5980	5677
513	5992	5666
514	6004	5654
515	6016	5643
516	6028	5631
517	6040	5620
518	6051	5608
519	6063	5597
520	6075	5585
521	6087	5574
522	6098	5562
523	6110	5550
524	6122	5539
525	6134	5527
526	6146	5516
527	6158	5505
528	6170	5493
529	6181	5482
530	6193	5470
531	6205	5458
532	6217	5447
533	6229	5435
534	6241	5424
535	6252	5413
536	6264	5401
537	6276	5389
538	6288	5378
539	6300	5366
540	6312	5355
541	6323	5343
542	6335	5332
543	6347	5320
544	6359	5308
545	6370	5297
546	6382	5285
547	6394	5274
548	6406	5262
549	6418	5251
550	6430	5239
551	6441	5228
552	6453	5216
553	6465	5205
554	6477	5193
555	6489	5182
556	6500	5170
557	6512	5158
558	6524	5147
559	6528	5129
560	6539	5117
561	6551	5106
562	6563	5094
563	6575	5083
564	6587	5071
565	6599	5060
566	6611	5048
567	6622	5037
568	6634	5025
569	6646	5013
570	6658	5002
571	6670	4990
572	6681	4979
573	6685	4962
574	6697	4950
575	6709	4938
576	6721	4927
577	6733	4915
578	6745	4904
579	6756	4892
580	6768	4881
581	6780	4869
582	6792	4858
583	6804	4846
584	6815	4835
585	6827	4823
586	6839	4812
587	6851	4800
588	6863	4789
589	6875	4777
590	6886	4766
591	6898	4754
592	6906	4739
593	6918	4728
594	6930	4717
595	6941	4705
596	6953	4694
597	6961	4679
598	6972	4668
599	6984	4656
600	6996	4644
601	7008	4633
602	7020	4621
603	7032	4610
604	7036	4593
605	7047	4582
606	7059	4570
607	7071	4559
608	7083	4547
609	7095	4536
610	7107	4524
611	7118	4513
612	7130	4501
613	7142	4490
614	7154	4478
615	7166	4467
616	7178	4455
617	7190	4444
618	7201	4432
619	7213	4421
620	7225	4409
621	7237	4398
622	7249	4386
623	7260	4375
624	7272	4363
625	7284	4352
626	7296	4340
627	7308	4329
628	7319	4317
629	7331	4306
630	7343	4294
631	7355	4282
632	7359	4266
633	7371	4255
634	7382	4243
635	7394	4232
636	7406	4220
637	7418	4209
638	7430	4197
639	7442	4186
640	7454	4174
641	7465	4163
642	7477	4151
643	7489	4140
644	7501	4128
645	7512	4117
646	7525	4105
647	7537	4094
648	7549	4082
649	7560	4071
650	7572	4059
651	7584	4048
652	7596	4036
653	7607	4025
654	7619	4013
655	7631	4001
656	7643	3990
657	7655	3978
658	7666	3967
659	7678	3955
660	7690	3944
661	7702	3932
662	7714	3921
663	7726	3909
664	7738	3898
665	7749	3886
666	7761	3875
667	7773	3863
668	7785	3851
669	7797	3840
670	7808	3828
671	7820	3817
672	7832	3805
673	7844	3794
674	7856	3782
675	7868	3771
676	7880	3759
677	7891	3748
678	7903	3736
679	7915	3724
680	7927	3713
681	7939	3701
682	7951	3690
683	7962	3678
684	7974	3667
685	7986	3655
686	7998	3644
687	8010	3632
688	8022	3620
689	8033	3609
690	8045	3597
691	8057	3586
692	8069	3574
693	8081	3563
694	8093	3551
695	8105	3540
696	8116	3528
697	8128	3517
698	8140	3505
699	8152	3494
700	8164	3482
701	8176	3470
702	8188	3459
703	8199	3447
704	8211	3436
705	8219	3422
706	8231	3411
707	8243	3399
708	8254	3388
709	8266	3376
710	8278	3364
711	8290	3353
712	8302	3341
713	8313	3330
714	8319	3316
715	8330	3304
716	8342	3292
717	8354	3281
718	8366	3269
719	8378	3258
720	8390	3246
721	8401	3235
722	8413	3223
723	8425	3212
724	8437	3200
725	8449	3188
726	8461	3177
727	8473	3165
728	8484	3154
729	8496	3142
730	8508	3131
731	8520	3119
732	8532	3107
733	8544	3096
734	8556	3084
735	8568	3073
736	8580	3061
737	8591	3050
738	8603	3038
739	8615	3027
740	8627	3015
741	8639	3004
742	8651	2992
743	8662	2980
744	8674	2969
745	8686	2957
746	8698	2946
747	8710	2934
748	8722	2922
749	8733	2911
750	8745	2899
751	8757	2888
752	8769	2876
753	8781	2864
754	8793	2853
755	8805	2841
756	8817	2830
757	8828	2818
758	8840	2807
759	8852	2795
760	8864	2783
761	8876	2772
762	8887	2760
763	8899	2749
764	8911	2737
765	8923	2725
766	8935	2714
767	8947	2702
768	8959	2691
769	8970	2679
770	8982	2668
771	8994	2656
772	9006	2644
773	9018	2633
774	9029	2621
775	9041	2610
776	9053	2598
777	9065	2586
778	9077	2575
779	9089	2563
780	9101	2552
781	9112	2540
782	9125	2528
783	9137	2517
784	9148	2505
785	9160	2494
786	9172	2482
787	9184	2470
788	9195	2459
789	9207	2447
790	9219	2436
791	9231	2424
792	9243	2412
793	9250	2400
794	9262	2388
795	9274	2376
796	9286	2365
797	9298	2353
798	9309	2342
799	9321	2330
800	9333	2318
801	9345	2307
802	9356	2295
803	9368	2283
804	9380	2272
805	9392	2260
806	9404	2249
807	9416	2237
808	9420	2224
809	9432	2212
810	9444	2200
811	9455	2189
812	9467	2177
813	9479	2166
814	9491	2154
815	9503	2142
816	9514	2131
817	9526	2119
818	9538	2108
819	9550	2096
820	9562	2084
821	9573	2073
822	9585	2061
823	9597	2049
824	9609	2038
825	9621	2026
826	9633	2015
827	9644	2003
828	9656	1991
829	9668	1980
830	9680	1968
831	9692	1957
832	9704	1945
833	9715	1933
834	9727	1922
835	9739	1910
836	9751	1899
837	9763	1887
838	9775	1875
839	9787	1864
840	9799	1852
841	9811	1841
842	9823	1829
843	9834	1817
844	9846	1806
845	9858	1794
846	9870	1782
847	9882	1771
848	9894	1759
849	9905	1748
850	9917	1736
851	9929	1724
852	9941	1713
853	9953	1701
854	9964	1689
855	9976	1678
856	9988	1666
857	10000	1655
858	10012	1643
859	10024	1631
860	10036	1620
861	10047	1608
862	10059	1596
863	10071	1585
864	10083	1573
865	10095	1562
866	10107	1550
867	10119	1538
868	10131	1527
869	10142	1515
870	10154	1503
871	10166	1492
872	10178	1480
873	10190	1469
874	10202	1457
875	10214	1445
876	10225	1434
877	10237	1422
878	10249	1410
879	10262	1399
880	10273	1387
881	10285	1376
882	10297	1364
883	10309	1352
884	10321	1341
885	10333	1329
886	10345	1317
887	10356	1306
888	10368	1294
889	10380	1282
890	10392	1271
891	10404	1259
892	10415	1248
893	10427	1236
894	10439	1224
895	10451	1213
896	10463	1201
897	10475	1189
898	10486	1178
899	10498	1166
900	10510	1154
901	10522	1143
902	10534	1131
903	10546	1119
904	10557	1108
905	10569	1096
906	10581	1084
907	10588	1072
908	10600	1061
909	10612	1049
910	10624	1037
911	10636	1026
912	10647	1014
913	10659	1003
914	10671	991
915	10683	979
916	10695	968
917	10707	956
918	10719	944
919	10730	933
920	10742	921
921	10754	909
922	10766	898
923	10778	886
924	10790	874
925	10801	863
926	10813	851
927	10825	839
928	10837	828
929	10849	816
930	10861	804
931	10872	793
932	10884	781
933	10896	770
934	10908	758
935	10920	746
936	10932	735
937	10944	723
938	10956	711
939	10967	700
940	10979	688
941	10991	676
942	11003	665
943	11015	653
944	11027	641
945	11038	630
946	11042	618
947	11054	606
948	11066	594
949	11077	583
950	11089	571
951	11101	559
952	11113	548
953	11125	536
954	11136	524
955	11148	513
956	11160	501
957	11172	489
958	11184	478
959	11196	466
960	11207	454
961	11219	443
962	11231	431
963	11243	419
964	11255	408
965	11267	396
966	11279	384
967	11290	373
968	11302	361
969	11314	349
970	11326	338
971	11338	326
972	11350	314
973	11361	303
974	11366	291
975	11377	279
976	11389	268
977	11401	256
978	11405	244
979	11417	233
980	11429	221
981	11441	209
982	11453	198
983	11464	186
984	11476	174
985	11488	163
986	11500	151
987	11512	139
988	11523	128
989	11535	116
990	11547	104
991	11555	93
992	11567	81
993	11578	69
994	11591	58
995	11602	46
996	11614	34
997	11626	23
998	11638	11
999	11642	0
